Date,Value
2018-11-03 08,37.8859992
2018-11-03 09,30.829999199999996
2018-11-03 10,26.0459988
2018-11-03 11,23.83499975
2018-11-03 12,24.5859994
2018-11-03 13,31.765999599999997
2018-11-03 14,37.04
2018-11-03 15,38.8399996
2018-11-03 16,41.3539984
2018-11-03 17,41.4539994
2018-11-03 18,41.11749925
2018-11-03 19,42.6679994
2018-11-03 20,57.9339982
2018-11-03 21,72.99249825
2018-11-03 22,64.5499984
2018-11-03 23,63.303998
2018-11-04 00,60.159997399999995
2018-11-04 01,50.994999
2018-11-04 02,47.5959992
2018-11-04 03,42.3019996
2018-11-04 04,41.762499999999996
2018-11-04 05,41.7359992
2018-11-04 06,34.0479986
2018-11-04 07,30.9119982
2018-11-04 08,23.71749925
2018-11-04 09,22.6339994
2018-11-04 10,21.035999600000004
2018-11-04 11,18.0999995
2018-11-04 12,23.2459996
2018-11-04 13,27.441999400000004
2018-11-04 14,30.0319998
2018-11-04 15,32.4099985
2018-11-04 16,39.141999799999994
2018-11-04 17,41.5119986
2018-11-04 18,41.9249995
2018-11-04 19,46.296
2018-11-04 20,39.897999600000006
2018-11-04 21,36.0079988
2018-11-04 22,32.452498999999996
2018-11-04 23,28.1199995
2018-11-05 00,20.433333
2018-11-05 01,19.05499975
2018-11-05 02,17.1525
2018-11-05 03,17.33
2018-11-05 04,16.61499925
2018-11-05 05,21.63749925
2018-11-05 06,40.633999200000005
2018-11-05 07,53.047498749999995
2018-11-05 08,46.5119988
2018-11-05 09,39.44999975
2018-11-05 10,47.78999875
2018-11-05 11,52.0039994
2018-11-05 12,44.169999000000004
2018-11-05 13,40.2639984
2018-11-05 14,32.542499
2018-11-05 15,32.8439986
2018-11-05 16,32.352
2018-11-05 17,33.794999
2018-11-05 18,36.6059992
2018-11-05 19,49.1539994
2018-11-05 20,61.9639978
2018-11-05 21,78.4524985
2018-11-05 22,64.1599998
2018-11-05 23,59.7999986
2018-11-06 00,60.484997750000005
2018-11-06 01,53.2139992
2018-11-06 02,48.81999979999999
2018-11-06 03,51.7659986
2018-11-06 04,46.8774985
2018-11-06 05,52.651999599999996
2018-11-06 06,64.6259996
2018-11-06 07,60.90499875
2018-11-06 08,55.647997999999994
2018-11-06 09,51.5099992
2018-11-06 10,50.179998250000004
2018-11-06 11,52.21999900000001
2018-11-06 12,54.6679984
2018-11-06 13,43.8419992
2018-11-06 14,36.182499750000005
2018-11-06 15,33.307998
2018-11-06 16,32.9259998
2018-11-06 17,30.842499250000003
2018-11-06 18,29.3259996
2018-11-06 19,29.3819994
2018-11-06 20,35.8039994
2018-11-06 21,35.667499500000005
2018-11-06 22,39.1099985
2018-11-06 23,35.4639988
2018-11-07 00,28.5024995
2018-11-07 01,27.96
2018-11-07 02,21.203999
2018-11-07 03,19.3159998
2018-11-07 04,17.4224995
2018-11-07 05,21.127999199999998
2018-11-07 06,41.591999
2018-11-07 07,59.172498000000004
2018-11-07 08,61.21199800000001
2018-11-07 09,63.21999960000001
2018-11-07 10,67.9259988
2018-11-07 11,71.06999775
2018-11-07 12,64.59599820000001
2018-11-07 13,53.733999600000004
2018-11-07 14,42.4974985
2018-11-07 15,35.8619992
2018-11-07 16,27.185999400000004
2018-11-07 17,24.2219998
2018-11-07 18,21.22999925
2018-11-07 19,18.5559996
2018-11-07 20,16.6079994
2018-11-07 21,17.112499749999998
2018-11-07 22,17.4
2018-11-07 23,17.0439996
2018-11-08 00,14.6899994
2018-11-08 01,13.482499500000001
2018-11-08 02,11.794
2018-11-08 03,13.743999800000001
2018-11-08 04,16.0699995
2018-11-08 05,17.134
2018-11-08 06,25.137999399999995
2018-11-08 07,33.087999
2018-11-08 08,50.5499985
2018-11-08 09,43.6719984
2018-11-08 10,37.6399994
2018-11-08 11,32.40999925
2018-11-08 12,37.4039994
2018-11-08 13,33.16
2018-11-08 14,24.4299994
2018-11-08 15,22.80499925
2018-11-08 16,24.673999600000002
